Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score
75443,1,1,1,0,1,1,1,1,1,1,1,5524.379383
31449,1,1,0,1,1,1,1,1,1,1,1,5502.697134
1391,1,0,1,1,1,1,1,1,1,1,1,5465.461093
3112,1,0,1,1,1,1,1,1,1,1,1,5465.461093
3114,1,0,1,1,1,1,1,1,1,1,1,5465.461093
6712,1,0,1,1,1,1,1,1,1,1,1,5465.461093
10174,1,0,1,1,1,1,1,1,1,1,1,5465.461093
10346,1,0,1,1,1,1,1,1,1,1,1,5465.461093
12102,1,0,1,1,1,1,1,1,1,1,1,5465.461093
13839,1,0,1,1,1,1,1,1,1,1,1,5465.461093
14588,1,0,1,1,1,1,1,1,1,1,1,5465.461093
15010,1,0,1,1,1,1,1,1,1,1,1,5465.461093
15408,1,0,1,1,1,1,1,1,1,1,1,5465.461093
16013,1,0,1,1,1,1,1,1,1,1,1,5465.461093
17184,1,0,1,1,1,1,1,1,1,1,1,5465.461093
22023,1,0,1,1,1,1,1,1,1,1,1,5465.461093
22086,1,0,1,1,1,1,1,1,1,1,1,5465.461093
22655,1,0,1,1,1,1,1,1,1,1,1,5465.461093
24689,1,0,1,1,1,1,1,1,1,1,1,5465.461093
26260,1,0,1,1,1,1,1,1,1,1,1,5465.461093
28271,1,0,1,1,1,1,1,1,1,1,1,5465.461093
32709,1,0,1,1,1,1,1,1,1,1,1,5465.461093
35028,1,0,1,1,1,1,1,1,1,1,1,5465.461093
39658,1,0,1,1,1,1,1,1,1,1,1,5465.461093
40675,1,0,1,1,1,1,1,1,1,1,1,5465.461093
43120,1,0,1,1,1,1,1,1,1,1,1,5465.461093
43167,1,0,1,1,1,1,1,1,1,1,1,5465.461093
43229,1,0,1,1,1,1,1,1,1,1,1,5465.461093
43931,1,0,1,1,1,1,1,1,1,1,1,5465.461093
46088,1,0,1,1,1,1,1,1,1,1,1,5465.461093
46944,1,0,1,1,1,1,1,1,1,1,1,5465.461093
48113,1,0,1,1,1,1,1,1,1,1,1,5465.461093
48879,1,0,1,1,1,1,1,1,1,1,1,5465.461093
49939,1,0,1,1,1,1,1,1,1,1,1,5465.461093
55367,1,0,1,1,1,1,1,1,1,1,1,5465.461093
55569,1,0,1,1,1,1,1,1,1,1,1,5465.461093
57954,1,0,1,1,1,1,1,1,1,1,1,5465.461093
60487,1,0,1,1,1,1,1,1,1,1,1,5465.461093
65074,1,0,1,1,1,1,1,1,1,1,1,5465.461093
65239,1,0,1,1,1,1,1,1,1,1,1,5465.461093
68468,1,0,1,1,1,1,1,1,1,1,1,5465.461093
70156,1,0,1,1,1,1,1,1,1,1,1,5465.461093
71239,1,0,1,1,1,1,1,1,1,1,1,5465.461093
71409,1,0,1,1,1,1,1,1,1,1,1,5465.461093
71701,1,0,1,1,1,1,1,1,1,1,1,5465.461093
73846,1,0,1,1,1,1,1,1,1,1,1,5465.461093
85565,1,0,1,1,1,1,1,1,1,1,1,5465.461093
88580,1,0,1,1,1,1,1,1,1,1,1,5465.461093
88601,1,0,1,1,1,1,1,1,1,1,1,5465.461093
92658,1,0,1,1,1,1,1,1,1,1,1,5465.461093
93467,1,0,1,1,1,1,1,1,1,1,1,5465.461093
98089,1,0,1,1,1,1,1,1,1,1,1,5465.461093
99208,1,0,1,1,1,1,1,1,1,1,1,5465.461093
99247,1,0,1,1,1,1,1,1,1,1,1,5465.461093
18721,1,1,1,1,1,1,1,1,0,1,1,5377.372621
19687,1,1,1,1,1,1,1,1,0,1,1,5377.372621
19980,1,1,1,1,1,1,1,1,0,1,1,5377.372621
20027,1,1,1,1,1,1,1,1,0,1,1,5377.372621
21204,1,1,1,1,1,1,1,1,0,1,1,5377.372621
22292,1,1,1,1,1,1,1,1,0,1,1,5377.372621
22691,1,1,1,1,1,1,1,1,0,1,1,5377.372621
24112,1,1,1,1,1,1,1,1,0,1,1,5377.372621
24945,1,1,1,1,1,1,1,1,0,1,1,5377.372621
25279,1,1,1,1,1,1,1,1,0,1,1,5377.372621
26619,1,1,1,1,1,1,1,1,0,1,1,5377.372621
26631,1,1,1,1,1,1,1,1,0,1,1,5377.372621
26715,1,1,1,1,1,1,1,1,0,1,1,5377.372621
27583,1,1,1,1,1,1,1,1,0,1,1,5377.372621
28164,1,1,1,1,1,1,1,1,0,1,1,5377.372621
29738,1,1,1,1,1,1,1,1,0,1,1,5377.372621
31424,1,1,1,1,1,1,1,1,0,1,1,5377.372621
32121,1,1,1,1,1,1,1,1,0,1,1,5377.372621
32331,1,1,1,1,1,1,1,1,0,1,1,5377.372621
32771,1,1,1,1,1,1,1,1,0,1,1,5377.372621
33387,1,1,1,1,1,1,1,1,0,1,1,5377.372621
33729,1,1,1,1,1,1,1,1,0,1,1,5377.372621
34811,1,1,1,1,1,1,1,1,0,1,1,5377.372621
34990,1,1,1,1,1,1,1,1,0,1,1,5377.372621
36791,1,1,1,1,1,1,1,1,0,1,1,5377.372621
42056,1,1,1,1,1,1,1,1,0,1,1,5377.372621
42174,1,1,1,1,1,1,1,1,0,1,1,5377.372621
43871,1,1,1,1,1,1,1,1,0,1,1,5377.372621
44207,1,1,1,1,1,1,1,1,0,1,1,5377.372621
44696,1,1,1,1,1,1,1,1,0,1,1,5377.372621
45370,1,1,1,1,1,1,1,1,0,1,1,5377.372621
46910,1,1,1,1,1,1,1,1,0,1,1,5377.372621
50844,1,1,1,1,1,1,1,1,0,1,1,5377.372621
57706,1,1,1,1,1,1,1,1,0,1,1,5377.372621
61859,1,1,1,1,1,1,1,1,0,1,1,5377.372621
67363,1,1,1,1,1,1,1,1,0,1,1,5377.372621
91011,1,1,1,1,1,1,1,1,0,1,1,5377.372621
93035,1,1,1,1,1,1,1,1,0,1,1,5377.372621
95332,1,1,1,1,1,1,1,1,0,1,1,5377.372621
96290,1,1,1,1,1,1,1,1,0,1,1,5377.372621
96413,1,1,1,1,1,1,1,1,0,1,1,5377.372621
97651,1,1,1,1,1,1,1,1,0,1,1,5377.372621
98096,1,1,1,1,1,1,1,1,0,1,1,5377.372621
99168,1,1,1,1,1,1,1,1,0,1,1,5377.372621
10767,1,1,1,1,1,1,1,0,1,1,1,5351.164354
24748,1,1,1,1,1,1,1,0,1,1,1,5351.164354
25501,1,1,1,1,1,1,1,0,1,1,1,5351.164354
27504,1,1,1,1,1,1,1,0,1,1,1,5351.164354
29706,1,1,1,1,1,1,1,0,1,1,1,5351.164354
43416,1,1,1,1,1,1,1,0,1,1,1,5351.164354
47947,1,1,1,1,1,1,1,0,1,1,1,5351.164354
54229,1,1,1,1,1,1,1,0,1,1,1,5351.164354
68504,1,1,1,1,1,1,1,0,1,1,1,5351.164354
88967,1,1,1,1,1,1,1,0,1,1,1,5351.164354
34235,0.5,1,1,0,1,1,1,1,1,1,1,5341.841124
2364,1,1,1,1,1,0,1,1,1,1,1,5288.920089
8066,1,1,1,1,1,0,1,1,1,1,1,5288.920089
11400,1,1,1,1,1,0,1,1,1,1,1,5288.920089
11514,1,1,1,1,1,0,1,1,1,1,1,5288.920089
17736,1,1,1,1,1,0,1,1,1,1,1,5288.920089
18124,1,1,1,1,1,0,1,1,1,1,1,5288.920089
18313,1,1,1,1,1,0,1,1,1,1,1,5288.920089
18913,1,1,1,1,1,0,1,1,1,1,1,5288.920089
19029,1,1,1,1,1,0,1,1,1,1,1,5288.920089
19304,1,1,1,1,1,0,1,1,1,1,1,5288.920089
19621,1,1,1,1,1,0,1,1,1,1,1,5288.920089
20374,1,1,1,1,1,0,1,1,1,1,1,5288.920089
20458,1,1,1,1,1,0,1,1,1,1,1,5288.920089
20772,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21368,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21425,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21519,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21528,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21550,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21657,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21672,1,1,1,1,1,0,1,1,1,1,1,5288.920089
21931,1,1,1,1,1,0,1,1,1,1,1,5288.920089
22387,1,1,1,1,1,0,1,1,1,1,1,5288.920089
22609,1,1,1,1,1,0,1,1,1,1,1,5288.920089
22811,1,1,1,1,1,0,1,1,1,1,1,5288.920089
22955,1,1,1,1,1,0,1,1,1,1,1,5288.920089
23491,1,1,1,1,1,0,1,1,1,1,1,5288.920089
23646,1,1,1,1,1,0,1,1,1,1,1,5288.920089
23974,1,1,1,1,1,0,1,1,1,1,1,5288.920089
24079,1,1,1,1,1,0,1,1,1,1,1,5288.920089
24367,1,1,1,1,1,0,1,1,1,1,1,5288.920089
24455,1,1,1,1,1,0,1,1,1,1,1,5288.920089
24764,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25003,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25358,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25404,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25769,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25879,1,1,1,1,1,0,1,1,1,1,1,5288.920089
25882,1,1,1,1,1,0,1,1,1,1,1,5288.920089
26093,1,1,1,1,1,0,1,1,1,1,1,5288.920089
26325,1,1,1,1,1,0,1,1,1,1,1,5288.920089
26967,1,1,1,1,1,0,1,1,1,1,1,5288.920089
27253,1,1,1,1,1,0,1,1,1,1,1,5288.920089
28673,1,1,1,1,1,0,1,1,1,1,1,5288.920089
28784,1,1,1,1,1,0,1,1,1,1,1,5288.920089
28840,1,1,1,1,1,0,1,1,1,1,1,5288.920089
29377,1,1,1,1,1,0,1,1,1,1,1,5288.920089
29427,1,1,1,1,1,0,1,1,1,1,1,5288.920089
29513,1,1,1,1,1,0,1,1,1,1,1,5288.920089
29990,1,1,1,1,1,0,1,1,1,1,1,5288.920089
30645,1,1,1,1,1,0,1,1,1,1,1,5288.920089
30659,1,1,1,1,1,0,1,1,1,1,1,5288.920089
31385,1,1,1,1,1,0,1,1,1,1,1,5288.920089
31556,1,1,1,1,1,0,1,1,1,1,1,5288.920089
31679,1,1,1,1,1,0,1,1,1,1,1,5288.920089
31811,1,1,1,1,1,0,1,1,1,1,1,5288.920089
31986,1,1,1,1,1,0,1,1,1,1,1,5288.920089
32226,1,1,1,1,1,0,1,1,1,1,1,5288.920089
32495,1,1,1,1,1,0,1,1,1,1,1,5288.920089
32542,1,1,1,1,1,0,1,1,1,1,1,5288.920089
34085,1,1,1,1,1,0,1,1,1,1,1,5288.920089
34697,1,1,1,1,1,0,1,1,1,1,1,5288.920089
34837,1,1,1,1,1,0,1,1,1,1,1,5288.920089
35040,1,1,1,1,1,0,1,1,1,1,1,5288.920089
35125,1,1,1,1,1,0,1,1,1,1,1,5288.920089
35345,1,1,1,1,1,0,1,1,1,1,1,5288.920089
35888,1,1,1,1,1,0,1,1,1,1,1,5288.920089
36912,1,1,1,1,1,0,1,1,1,1,1,5288.920089
37236,1,1,1,1,1,0,1,1,1,1,1,5288.920089
38307,1,1,1,1,1,0,1,1,1,1,1,5288.920089
38804,1,1,1,1,1,0,1,1,1,1,1,5288.920089
39490,1,1,1,1,1,0,1,1,1,1,1,5288.920089
40738,1,1,1,1,1,0,1,1,1,1,1,5288.920089
