,Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score,reliable
0,75443,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1,1,5524.3793829999995,yes
1,31449,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5502.697134,yes
2,1391,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
3,3112,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
4,3114,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
5,6712,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
6,10174,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
7,10346,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
8,12102,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
9,13839,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
10,14588,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
11,15010,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
12,15408,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
13,16013,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
14,17184,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
15,22023,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
16,22086,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
17,22655,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
18,24689,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
19,26260,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
20,28271,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
21,32709,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
22,35028,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
23,39658,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1,5465.461093,yes
