nb_loan_number nb_original_balance nb_original_fico nb_debt_ratio nb_original_rate nb_original_ltv nb_original_cltv nb_unit_count nb_original_term nb_io_term nb_origination_date nb_maturity_date nb_purpose_code nb_occupancy_code nb_documentation_type_code nb_property_type_code nb_property_zip_code
2 254700.00 613 NULL NULL 90.0000 0.0000 1 360 60 2004-06-30 2034-07-01 RefiWithCash Owner AllDocs SingleFamily 95829
3 209000.00 632 NULL NULL 88.9400 0.0000 1 360 NULL 2004-07-30 2034-08-01 RefiWithCash NotOwner LimitedDocs Condo 90805
4 160000.00 590 NULL NULL 42.6700 0.0000 1 360 60 2004-08-23 2034-09-01 RefiWithCash Owner AllDocs SingleFamily 90041
5 130000.00 502 NULL NULL 66.6700 0.0000 1 360 NULL 2004-08-17 2034-09-01 Refi Owner AllDocs PUD 85541
6 255000.00 611 NULL NULL 60.0000 0.0000 1 360 NULL 2004-10-18 2034-11-01 RefiWithCash Owner AllDocs SingleFamily 90620
7 185000.00 582 NULL NULL 48.0500 0.0000 1 360 NULL 2004-11-19 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91770
8 143100.00 781 NULL NULL 90.0000 0.0000 1 360 NULL 2004-09-17 2034-10-01 Purchase NotOwner LimitedDocs Condo 90802
9 197600.00 702 NULL NULL 80.0000 100.0000 1 360 NULL 2004-10-01 2034-10-01 Purchase Owner AllDocs SingleFamily 90220
10 240100.00 614 NULL NULL 70.0000 0.0000 1 360 NULL 2004-10-13 2034-11-01 Purchase Owner LimitedDocs SingleFamily 91761
11 182000.00 607 NULL NULL 65.0000 0.0000 1 360 NULL 2004-10-29 2034-11-01 RefiWithCash Owner AllDocs SingleFamily 90221
12 356000.00 670 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-04 2034-11-01 Purchase Owner AllDocs SingleFamily 90712
13 225250.00 596 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-01 2034-11-01 RefiWithCash Owner LimitedDocs Condo 91343
14 225000.00 620 NULL NULL 53.5700 0.0000 1 360 NULL 2004-11-17 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 22307
15 337500.00 534 NULL NULL 75.0000 0.0000 1 360 NULL 2004-11-19 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91505
16 120250.00 511 NULL NULL 65.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 93535
17 244000.00 615 NULL NULL 77.2200 0.0000 1 360 NULL 2004-11-04 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 90022
18 288000.00 708 NULL NULL 75.0000 0.0000 2 360 NULL 2004-11-18 2034-12-01 RefiWithCash NotOwner LimitedDocs Multi 90044
19 200000.00 619 NULL NULL 54.0500 0.0000 1 360 NULL 2004-11-19 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 92234
20 216500.00 628 NULL NULL 63.6800 0.0000 2 360 NULL 2004-11-18 2034-12-01 RefiWithCash NotOwner LimitedDocs Multi 91768
21 220000.00 731 NULL NULL 80.0000 0.0000 1 360 60 2004-11-22 2034-12-01 Purchase Owner LimitedDocs Condo 92707
22 209000.00 643 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-19 2034-12-01 RefiWithCash Owner AllDocs Condo 91706
23 300000.00 676 NULL NULL 74.8100 0.0000 1 360 NULL 2004-11-26 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 90745
24 232500.00 521 NULL NULL 75.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91768
25 182000.00 704 NULL NULL 52.3000 0.0000 1 360 NULL 2004-12-01 2034-12-01 RefiWithCash NotOwner AllDocs SingleFamily 95602
26 150000.00 668 NULL NULL 75.0000 0.0000 1 360 NULL 2004-12-01 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 92392
27 335250.00 520 NULL NULL 74.5000 0.0000 1 360 NULL 2004-12-01 2034-12-01 RefiWithCash Owner AllDocs Condo 90275
28 300000.00 723 NULL NULL 100.0000 0.0000 1 360 60 2004-05-14 2034-06-01 Purchase Owner AllDocs SingleFamily 94511
29 146250.00 518 NULL NULL 65.0000 0.0000 1 360 NULL 2004-08-19 2034-09-01 RefiWithCash Owner AllDocs SingleFamily 90003
30 213000.00 612 NULL NULL 78.8900 0.0000 1 360 NULL 2004-08-08 2034-09-01 Refi Owner AllDocs Condo 96789
31 283200.00 659 NULL NULL 80.0000 100.0000 1 360 NULL 2004-09-29 2034-10-01 Purchase Owner AllDocs SingleFamily 95631
32 342000.00 651 NULL NULL 95.0000 0.0000 2 360 NULL 2004-10-21 2034-11-01 RefiWithCash Owner AllDocs Multi 96766
33 297202.00 700 NULL NULL 95.0000 0.0000 1 360 60 2004-10-04 2034-10-01 Purchase Owner AllDocs PUD 95610
34 172000.00 652 NULL NULL 80.0000 100.0000 1 360 NULL 2004-09-30 2034-10-01 Purchase Owner LimitedDocs SingleFamily 95540
35 161600.00 722 NULL NULL 80.0000 99.7900 1 360 60 2004-09-23 2034-10-01 Purchase Owner AllDocs SingleFamily 97062
36 240000.00 752 NULL NULL 80.0000 100.0000 1 360 60 2004-10-08 2034-11-01 Purchase Owner AllDocs PUD 95640
37 158000.00 683 NULL NULL 65.8300 0.0000 1 360 60 2004-10-05 2034-10-01 RefiWithCash Owner AllDocs Condo 94518
38 123600.00 675 NULL NULL 80.0000 100.0000 1 360 60 2004-10-15 2034-11-01 Purchase Owner AllDocs Condo 96793
39 380000.00 631 NULL NULL 80.0000 100.0000 1 360 60 2004-10-08 2034-11-01 Purchase Owner AllDocs SingleFamily 96789
40 155000.00 676 NULL NULL 51.6700 0.0000 1 360 NULL 2004-10-08 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 95610
41 252000.00 659 NULL NULL 80.0000 100.0000 1 360 60 2004-10-12 2034-11-01 Purchase Owner LimitedDocs SingleFamily 96003
42 270000.00 650 NULL NULL 90.0000 0.0000 1 360 NULL 2004-10-26 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 94511
43 117000.00 520 NULL NULL 66.1400 0.0000 1 360 NULL 2004-12-03 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 96748
44 101500.00 582 NULL NULL 70.0000 0.0000 1 360 60 2004-11-05 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 95917
45 140000.00 627 NULL NULL 70.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 96792
46 352800.00 580 NULL NULL 80.0000 0.0000 1 360 60 2004-11-05 2034-12-01 RefiWithCash Owner LimitedDocs PUD 95602
47 212000.00 610 NULL NULL 80.0000 87.5500 1 360 NULL 2004-11-19 2034-12-01 Refi Owner LimitedDocs SingleFamily 95916
48 341500.00 519 NULL NULL 59.0800 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 94603
49 294400.00 666 NULL NULL 92.0000 0.0000 1 360 60 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 94591
50 281400.00 718 NULL NULL 76.0500 0.0000 2 360 NULL 2004-11-10 2034-12-01 RefiWithCash Owner LimitedDocs Multi 95838
51 238000.00 669 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 Purchase Owner NoDocs SingleFamily 89502
52 450800.00 685 NULL NULL 80.0000 100.0000 1 360 60 2004-12-01 2034-12-01 Purchase Owner LimitedDocs SingleFamily 96708
53 174000.00 562 NULL NULL 72.2000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 95519
54 259250.00 679 NULL NULL 85.0000 0.0000 1 360 60 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 95368
55 145000.00 555 NULL NULL 63.0400 0.0000 1 360 NULL 2004-11-23 2034-12-01 Refi Owner AllDocs SingleFamily 95828
