bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
767,4.125,268000,3/1/16,NO,RETAIL,5988487888,FRM,PURCHASE,FL,Feb-46,2,1,30,4.125,360,80,268000,PRINCIPAL,PUD,FIRSTBANKPUERTORICO
703,3,54000,2/1/16,NO,RETAIL,5988487906,FRM,REFINANCE,PR,Jan-26,2,1,35,3,120,60,54000,PRINCIPAL,SF,ORIENTALBANK
708,3.75,127142.51,1/1/16,NO,RETAIL,5988487907,FRM,REFINANCE,PR,Dec-35,2,2,44,3.75,240,85,127500,PRINCIPAL,SF,ORIENTALBANK
789,4.125,179400,2/1/16,NO,RETAIL,5988487908,FRM,REFINANCE,PR,Jan-46,1,1,58,4.125,360,111,179400,PRINCIPAL,CONDO,ORIENTALBANK
738,4.125,93700,2/1/16,NO,RETAIL,5988487909,FRM,REFINANCE,PR,Jan-46,1,1,41,4.125,360,106,93700,PRINCIPAL,CONDO,ORIENTALBANK
765,3.25,50534.1,1/1/16,NO,RETAIL,5988487910,FRM,REFINANCE,PR,Dec-23,2,1,21,3.25,96,39,51000,INVESTOR,SF,ORIENTALBANK
762,4.125,88150,2/1/16,YES,RETAIL,5988487912,FRM,PURCHASE,PR,Jan-46,1,1,40,4.125,360,97,88150,PRINCIPAL,CONDO,ORIENTALBANK
719,4.25,135000,2/1/16,NO,RETAIL,5988487913,FRM,PURCHASE,PR,Jan-46,2,1,39,4.25,360,57,135000,PRINCIPAL,SF,ORIENTALBANK
634,4.25,215000,2/1/16,NO,RETAIL,5988487914,FRM,REFINANCE,PR,Jan-46,2,1,55,4.25,360,137,215000,INVESTOR,SF,ORIENTALBANK
769,3.625,109700,2/1/16,NO,RETAIL,5988487916,FRM,REFINANCE,PR,Jan-36,1,1,29,3.625,240,90,109700,PRINCIPAL,CONDO,ORIENTALBANK
