nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
2,254700,613,NULL,NULL,90,0,1,360,60,6/30/04,7/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,95829
3,209000,632,NULL,NULL,88.94,0,1,360,NULL,7/30/04,8/1/34,RefiWithCash,NotOwner,LimitedDocs,Condo,90805
4,160000,590,NULL,NULL,42.67,0,1,360,60,8/23/04,9/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90041
5,130000,502,NULL,NULL,66.67,0,1,360,NULL,8/17/04,9/1/34,Refi,Owner,AllDocs,PUD,85541
6,255000,611,NULL,NULL,60,0,1,360,NULL,10/18/04,11/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90620
7,185000,582,NULL,NULL,48.05,0,1,360,NULL,11/19/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91770
8,143100,781,NULL,NULL,90,0,1,360,NULL,9/17/04,10/1/34,Purchase,NotOwner,LimitedDocs,Condo,90802
9,197600,702,NULL,NULL,80,100,1,360,NULL,10/1/04,10/1/34,Purchase,Owner,AllDocs,SingleFamily,90220
10,240100,614,NULL,NULL,70,0,1,360,NULL,10/13/04,11/1/34,Purchase,Owner,LimitedDocs,SingleFamily,91761
11,182000,607,NULL,NULL,65,0,1,360,NULL,10/29/04,11/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90221
12,356000,670,NULL,NULL,80,0,1,360,NULL,11/4/04,11/1/34,Purchase,Owner,AllDocs,SingleFamily,90712
13,225250,596,NULL,NULL,85,0,1,360,NULL,11/1/04,11/1/34,RefiWithCash,Owner,LimitedDocs,Condo,91343
14,225000,620,NULL,NULL,53.57,0,1,360,NULL,11/17/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,22307
15,337500,534,NULL,NULL,75,0,1,360,NULL,11/19/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91505
16,120250,511,NULL,NULL,65,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,93535
17,244000,615,NULL,NULL,77.22,0,1,360,NULL,11/4/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90022
18,288000,708,NULL,NULL,75,0,2,360,NULL,11/18/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,Multi,90044
19,200000,619,NULL,NULL,54.05,0,1,360,NULL,11/19/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,92234
20,216500,628,NULL,NULL,63.68,0,2,360,NULL,11/18/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,Multi,91768
21,220000,731,NULL,NULL,80,0,1,360,60,11/22/04,12/1/34,Purchase,Owner,LimitedDocs,Condo,92707
22,209000,643,NULL,NULL,95,0,1,360,NULL,11/19/04,12/1/34,RefiWithCash,Owner,AllDocs,Condo,91706
23,300000,676,NULL,NULL,74.81,0,1,360,NULL,11/26/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90745
24,232500,521,NULL,NULL,75,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91768
25,182000,704,NULL,NULL,52.3,0,1,360,NULL,12/1/04,12/1/34,RefiWithCash,NotOwner,AllDocs,SingleFamily,95602
26,150000,668,NULL,NULL,75,0,1,360,NULL,12/1/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,92392
27,335250,520,NULL,NULL,74.5,0,1,360,NULL,12/1/04,12/1/34,RefiWithCash,Owner,AllDocs,Condo,90275
28,300000,723,NULL,NULL,100,0,1,360,60,5/14/04,6/1/34,Purchase,Owner,AllDocs,SingleFamily,94511
29,146250,518,NULL,NULL,65,0,1,360,NULL,8/19/04,9/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90003
30,213000,612,NULL,NULL,78.89,0,1,360,NULL,8/8/04,9/1/34,Refi,Owner,AllDocs,Condo,96789
31,283200,659,NULL,NULL,80,100,1,360,NULL,9/29/04,10/1/34,Purchase,Owner,AllDocs,SingleFamily,95631
32,342000,651,NULL,NULL,95,0,2,360,NULL,10/21/04,11/1/34,RefiWithCash,Owner,AllDocs,Multi,96766
33,297202,700,NULL,NULL,95,0,1,360,60,10/4/04,10/1/34,Purchase,Owner,AllDocs,PUD,95610
34,172000,652,NULL,NULL,80,100,1,360,NULL,9/30/04,10/1/34,Purchase,Owner,LimitedDocs,SingleFamily,95540
35,161600,722,NULL,NULL,80,99.79,1,360,60,9/23/04,10/1/34,Purchase,Owner,AllDocs,SingleFamily,97062
36,240000,752,NULL,NULL,80,100,1,360,60,10/8/04,11/1/34,Purchase,Owner,AllDocs,PUD,95640
37,158000,683,NULL,NULL,65.83,0,1,360,60,10/5/04,10/1/34,RefiWithCash,Owner,AllDocs,Condo,94518
38,123600,675,NULL,NULL,80,100,1,360,60,10/15/04,11/1/34,Purchase,Owner,AllDocs,Condo,96793
39,380000,631,NULL,NULL,80,100,1,360,60,10/8/04,11/1/34,Purchase,Owner,AllDocs,SingleFamily,96789
